case_ts_number,requested_date,machine_salesmodel,machine_hours,part_number,part_description,complaint,description,complaint_local_language,test_performed,test_performed_local_language,site_conditions,correction,correction_local_language,cause,cause_local_language,additional_machine_attachments,state,causing_part_name,function_group,defect_code_id,defect_code_description,defect_code_definition,application_short_description,fault_codes
TS3164252,2021-10-19T14:06:43Z,L60H,4435,23293927,EGR UNIT,Engine derates and error code P040964 is acive.,P040964 EGR Differential Pressure Sensor - Signal Plausibility Failure,null,"We cleaned the venturi tube and EGR differential sensor first.
But this didn't solve the error code.
We replaced the EGR cooler and thermostat. 
Error code became inactive.
SE2511 replaced because value stayed 0 bar.
Then we tried to get the engine out of the derate state and that was a big challenge. We first performed a reset on the quality and tempering timers and tried to heal the machine as stated in ST254WLO48 but this didn't work well.
We programmed the latest software SP WLO_3.2v35.1 and tried to heal the machine again according ST254WLO48 whit out success. We reprogrammed the complete machine but didn't succeed to get the machine out of the derate state.
Finally we took a new ACM and the immediately was out of the derate state. Putting the old ACM back on the machine and the engine derates again. So we had to leave the new ACM on the machine.
",null,null,Thank you for the information. I have informed Global Tech Support.Replace EGR cooler p/n VOE23293927 and ACM.,null,"EGR clogged.
Software problem to get the machine out of the derate?",null,null,Closed,VOE23293927,293 EGR (Exhaust Gas Recirculation),c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Aggregates, Sand, Gravel","[""P040964""]"
TS3305591,2023-08-29T14:30:53Z,A45G,6126,17518303,WIRING HARNESS,ENGINE  ECU  WILL NOT COMMUNICATE WITH THE OTHER ECU'S IN THE MACHINE AFTER INSTALING NEW CAB HARNESS .,U000188 CAN Communication Backbone 2 Net - Bus off,null,"1: tested power and grounds to the e-ecu.
results showed good grounds on pins eb58, 59.61
showed good power on eb 57.60
2} check can buses discription and measuring for j1939.  due to code  ef3602-9
found at the voltages and ohms .
installed a test e-ecu to the machine and the code went from red to yellow  and the machine would start.
tried to program the e-ecu and the ceu was cleared  of software and the ef 3602-9 code went red again.

",null,waste water treatment plant,null,null,null,null,MAX JANTZ,Accept/Reject,VOE17518303,373 Miscellaneous,24da8fe5876ecd10eb664116cebb3593,FG3: Software / calibration,Code only applicable to Software problem. (Excluding ECU:s),"Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""U000188""]"
TS3278685,2023-05-31T06:34:44Z,L90H,3231,23255575,PUMPENAGGREGAT,"Error message P204A85 !
",P204A85 Reductant Pressure Sensor - Signal Above Allowable Range,"Fehlermeldung P204A85 !
","Machine read out with Techtool and Matris.
Dosage test of the AdBlue pump carried out.
The pump pressure is too high!
Target : 900 kpa Is : 1210 kpa!
Quantity Target : 189-211 ml Is : 210 ml .
The pressure sensor of the AdBlue unit shows too high a value!
Filter the pump checked for contamination, no contamination detected.
","Maschine mit Techtool und Matris ausgelesen.
Dosierungstest der AdBlue-Pumpe durchgeführt.
Der Pumpendruck ist zu hoch!
Soll : 900 kpa Ist : 1210 kpa!
Menge Soll : 189-211 ml Ist : 210 ml .
Der Drucksensor der AdBlue Einheit zeigt einen zu hohe Werte an !
Filter der Pumpe auf Verunreinigung kontrolliert, keine Verunreinigung festzustellen .
",null,"The AdBlue pump was removed and a new AdBlue pump was installed and connected to the system.
Difficult removal because the screws were rusted.
The threads had to be recut for the fastening screws
Dosing test started with Techtool after installation - target 900 kpa Actual: 900 kpa!
Machine completed and a test run was carried out.
","Die Adblue Pumpe ausgebaut und eine neue AdBlue Pumpe eingebaut und an das System angeschlossen.
Erschwerter Ausbau da die Schrauben festgerostet waren.
Die Gewindegänge mußten für die Befestigungsschrauben nachgeschnitten werden
Dosiertest mit Techtool nach Einbau gestartet-Soll 900 kpa Ist:900 kpa!
Maschine komplettiert und einen Probelauf durchgeführt.
","The AdBlue pump was removed and a new AdBlue pump was installed and connected to the system.
Difficult removal because the screws were rusted.
The threads had to be recut for the fastening screws
Dosing test started with Techtool after installation - target 900 kpa Actual: 900 kpa!
Machine completed and a test run was carried out.
","Die Adblue Pumpe ausgebaut und eine neue AdBlue Pumpe eingebaut und an das System angeschlossen.
Erschwerter Ausbau da die Schrauben festgerostet waren.
Die Gewindegänge mußten für die Befestigungsschrauben nachgeschnitten werden
Dosiertest mit Techtool nach Einbau gestartet-Soll 900 kpa Ist:900 kpa!
Maschine komplettiert und einen Probelauf durchgeführt.
","Bucket
TASWB6624",Closed,VOE23255575,254 Catalytic converter; exhaust emission control equipment,05c0080687ee4110eb664116cebb3516,"FG2: Emission related Problem (SCR, DPF, Add blue excl. sensor)",EATS; Smokey exhaust gases (White/Black); AdBlue; Etc.,Recycling - General waste and scrap handling,"[""P204A85""]"
TS3399386,2024-08-14T10:26:29Z,L150H,1429,23225749,EGR COOLER,"EGR cooler clogged.
EGR venturipipe, cooler and sensor full of wet soot.

Engine loses coolant.
Most likely EGR cooler leaking coolant into exhaust and moisture cloggs the cooler fins.
DTCs P04009B, P111D00",P111D00 Engine Coolant Level Moderately Low - No Sub Type Information,null,"Checked venturi and sensor.

TT sensor values measured.",null,Saw dust loading,null,null,null,null,null,Dealer Action Required,VOE23225749,293 EGR (Exhaust Gas Recirculation),c16292d587ea4d10018d63573cbb3521,FG2: Internal Leakage,Internal leakage / transfers - Engine with associated parts and components.,Processing low density bulk-material,"[""P111D00""]"
TS3399386,2024-08-14T10:26:29Z,L150H,1429,23225749,EGR COOLER,"EGR cooler clogged.
EGR venturipipe, cooler and sensor full of wet soot.

Engine loses coolant.
Most likely EGR cooler leaking coolant into exhaust and moisture cloggs the cooler fins.
DTCs P04009B, P111D00","P04009B Exhaust Gas Recirculation """"A"""" Flow - High/Excessive Flow",null,"Checked venturi and sensor.

TT sensor values measured.",null,Saw dust loading,null,null,null,null,null,Dealer Action Required,VOE23225749,293 EGR (Exhaust Gas Recirculation),c16292d587ea4d10018d63573cbb3521,FG2: Internal Leakage,Internal leakage / transfers - Engine with associated parts and components.,Processing low density bulk-material,"[""P04009B""]"
TS3053359,2019-08-11T22:00:00Z,L90H,2200,22882969,null,Machine randomly generates fault codes P245221 and P245216.,"P245216 Particulate Filter Pressure Sensor """"A"""" - Circuit Voltage Below Threshold",null,"Customers complain ands Caretrack shows that on many D6 Stage V machines both codes P245221 and P24516 always show up at exact same time. 
These  code are never active when mechanic is at the machine.
Then all sensor values look normal. We expect that this is a software issue. See enclosed excel file for caretrack summary.",null,null,null,null,null,null,null,Initiated,VOE22882969,254 Catalytic converter; exhaust emission control equipment,cd362df9db964b004dd1f3361d961963,"Software problem, only (Excluding ECU's)",Code is only applicable to Software problem and require specific information with software version n,"Earth, Soil, Clay, Mud shifting, Slurry","[""P245216""]"
TS3053359,2019-08-11T22:00:00Z,L90H,2200,22882969,null,Machine randomly generates fault codes P245221 and P245216.,"P245221 Particulate Filter Pressure Sensor """"A"""" - Signal Amplitude Less Than Minimum",null,"Customers complain ands Caretrack shows that on many D6 Stage V machines both codes P245221 and P24516 always show up at exact same time. 
These  code are never active when mechanic is at the machine.
Then all sensor values look normal. We expect that this is a software issue. See enclosed excel file for caretrack summary.",null,null,null,null,null,null,null,Initiated,VOE22882969,254 Catalytic converter; exhaust emission control equipment,cd362df9db964b004dd1f3361d961963,"Software problem, only (Excluding ECU's)",Code is only applicable to Software problem and require specific information with software version n,"Earth, Soil, Clay, Mud shifting, Slurry","[""P245221""]"
TS3479958,2025-06-09T18:42:40Z,A45G,112,22443,TRANSMISSION,COMPLAINT OF TRANSMISSION SLIPPING AND CODE FOR EF4202-7 ,EF4204-7,null,FOLLOWED PROSIS CAUSES FOR CODE AND EVERYTHING IS CONNECTED CORRECTLY ALSO CHECKED KNOWLEDGE BANK AND FOUND POSSIBLE CAUSES AND THEY WERE ALSO GOOD. cHECKED GROUNDS IN THE CABIN FLOOR AND CONNECTIONS AT THE VECU AND ALSO CHECKED THAT THE SENSORS ON THE TRANSMISSION WERE CONNECTED CORRECTLY AND RAN SENSOR VALUES TEST AND CHECKED TRANSMISSION PRESURE IN TECH TOOL ALL READINGS WERE IN SPEC AND MACHINE WILL SLIP IN FORWARD AND REVERSE GEARS. OIL LEVEL IS GOOD ON DIPSTICK. ALL CONNECTORS ON THE TRANSMISSION ARE CONNECTED AND DIDNT FIND ANY DAMAGE TO ANY OF THEM. ,null,DRY ,"Hello, Thanks for the information, attach your oil sample when you receive it back, looks like a failed clutch seal, recommend repair or replace transmission at yours and the customers discretion. B/R",null,"INTERNAL FAULT IN TRANSMISSION, CLUTCH SLIPPING",null,null,Closed,VOE22443,420 General,c16292d587ea4d10018d63573cbb3521,FG2: Internal Leakage,Internal leakage / transfers - Engine with associated parts and components.,"Aggregates, Sand, Gravel",[]
TS3468172,2025-04-29T02:47:49Z,A45G,4912,23720222,TURBOCHARGER,"Turbocharger failure MO2501-7, poor engine power. The turbocharger is faulty with DTC MO2501-7, that caused poor engine power.",MO2501-7,"涡轮增压器故障MO2501-7,发动机动力差。 The turbocharger is faulty with DTC MO2501-7, that caused poor engine power.","The inspection found that the regulator could not be adjusted smoothly due to the lag of the turbocharger exhaust valve fan-shaped teeth, and the failure of the turbocharger caused poor engine power. After inspection, it was found that the gear shaft of the turbocharger was stuck and caused the actuator is not working, resulting in turbocharger failed and poor engine power.","检查发现涡轮增压器废气门扇形齿卡滞致使调节器不能顺畅调节，涡轮增压器故障致使发动机动力差。 After inspection, it was found that the gear shaft of the turbocharger was stuck and caused the actuator is not working, resulting in turbocharger failed and poor engine power.",null,"Put the cooling water, replace the turbocharger and seal, etc., and solve the normal fault of the test machine. Drain coolant, replace with new turbocharger and seals etc, tested and proved problem solved.","放冷却水，更换涡轮增压器和密封等，试机正常故障解决。 Drain coolant, replace with new turbocharger and seals etc, tested and proved problem solved.","The inspection found that the regulator could not be adjusted smoothly due to the lag of the turbocharger exhaust valve fan-shaped teeth, and the failure of the turbocharger caused poor engine power. After inspection, it was found that the gear shaft of the turbocharger was stuck and caused the actuator is not working, resulting in turbocharger failed and poor engine power.","检查发现涡轮增压器废气门扇形齿卡滞致使调节器不能顺畅调节，涡轮增压器故障致使发动机动力差。 After inspection, it was found that the gear shaft of the turbocharger was stuck and caused the actuator is not working, resulting in turbocharger failed and poor engine power.",null,Closed,VOE23720222,255 Turbo charger,09c0080687ee4110eb664116cebb3516,FG2: Irregular / poor engine performance / Abnormal high consumption ,"Abnormal oil consumption, low power, white/black smoke etc.","Metal ore, Iron, Copper, Gold, Phosphate, Nickel, Oil sands etc.",[]
TS3437629,2025-01-13T08:46:41Z,L150H,3759,53020843,DISPLAY,Machine is no longer sending File Upload data to the cloud.,Co-Pilot is not uploading date to the cloud. Listened to feedback from customer and put into chain. ,null,Listened to feedback from custoemr and put into chain. Have checked email and connection in caretrack admin portal. Sim card contract still active and working correctly. Operator has to manually connect sim card. Please can you advise.,null,null,null,null,null,null,null,Dealer Action Required,VOE53020843,"387 Warning/information unit, display unit",c85a07a5876ecd10eb664116cebb3561,FG2: Other ,Only to be used if none of the available def codes matches,"Earth, Soil, Clay, Mud shifting, Slurry",[]
TS3348827,2024-02-02T08:44:03Z,L180H,6723,15097478,SOLENOID COIL,Alerts you randomly to engine temperature. The fan rotates slowly.,P111E00 Engine Coolant Temperature Moderately High - No Sub Type Information,Hälyttää moottorin lämpötilasta satunnaisesti. Tuulettaja pyörii hitaasti.,"Done tech tool tests. Fan """"sound test"""" fan revs remained at 176rpm (guideline value about 1550rpm. The fan speed does not drop during brake charging. P3 stand by at 10bar.","Tehty tech tool testit. Tuulettajan """"äänitesti"""" tuulettjan kierrokset jäi 176rpm (ohjearvo noin 1550rpm. Tuulettajan nopeus ei putoa jarrulatauksen aikana. P3 stand by ohjearvossa 10bar.",null,The machine came into order. This can be closed. Anonymous,Kone tuli kuntoon. Tämän voi sulkea. Reijo,Replaced MA5503.,Vaihdettiin MA5503.,Sorting grapple,Closed,VOE15097478,912 Working hydraulics,39bf37b187ee4110eb664116cebb35d2,FG2: Overheating / Melted / Abnormal high heat,Abnormal high temperatures (Fan; Water pump; Oil cooler; Radiator; ERG; Water; Oil).,"Grapple operation, High lift operation, Transporting logs, Log handling","[""P111E00""]"
TS3348827,2024-02-02T08:44:03Z,L180H,6723,15097478,SOLENOID COIL,Alerts you randomly to engine temperature. The fan rotates slowly.,P021700 Engine Coolant Over Temperature Condition - No Sub Type Information,Hälyttää moottorin lämpötilasta satunnaisesti. Tuulettaja pyörii hitaasti.,"Done tech tool tests. Fan """"sound test"""" fan revs remained at 176rpm (guideline value about 1550rpm. The fan speed does not drop during brake charging. P3 stand by at 10bar.","Tehty tech tool testit. Tuulettajan """"äänitesti"""" tuulettjan kierrokset jäi 176rpm (ohjearvo noin 1550rpm. Tuulettajan nopeus ei putoa jarrulatauksen aikana. P3 stand by ohjearvossa 10bar.",null,The machine came into order. This can be closed. Anonymous,Kone tuli kuntoon. Tämän voi sulkea. Reijo,Replaced MA5503.,Vaihdettiin MA5503.,Sorting grapple,Closed,VOE15097478,912 Working hydraulics,39bf37b187ee4110eb664116cebb35d2,FG2: Overheating / Melted / Abnormal high heat,Abnormal high temperatures (Fan; Water pump; Oil cooler; Radiator; ERG; Water; Oil).,"Grapple operation, High lift operation, Transporting logs, Log handling","[""P021700""]"
TS3259581,2023-03-27T13:34:56Z,L70H,4145,17526656,KIT,"Adblue blue quality failuire.
Error P206A02.",P206A02 Reductant Quality - General Signal Failure,null,"Adblue  quality value read out in Techtool is 43,5%. Refractometer says 33%. We removed the adblue and filled it with water then still the adblue value was 5% instead of 0% cleaning the Adblue sensor didn't solve the problem.

We installed a new Adblue sensor and the quality was 33% again.",null,null,Thank you for the information. Replace the Adblue sensor p/n VOE17526656.,null,Adblue quality sensor unreliable reading.,null,null,Closed,VOE17526656,254 Catalytic converter; exhaust emission control equipment,05c0080687ee4110eb664116cebb3516,"FG2: Emission related Problem (SCR, DPF, Add blue excl. sensor)",EATS; Smokey exhaust gases (White/Black); AdBlue; Etc.,"Slope construction, Landscaping, Dike works","[""P206A02""]"
TS3194222,2022-05-03T14:28:56Z,L60H,335,11418522,PROPORTIONAL VALVE,Transmission error in the display and transmission is shifting rough to 3 gear.,P101800 Transmission Clutch 3 Slip - No Sub Type Information,null,"Calibration didn't solve the problem so we removed the PWM valve of the first gear and found some part of it is missing see attached photos. Missing part can not be found in the oil or in the transmission gear range valve. We replaced the PWM valve of the third gear and after calibration the transmission works well. 
 ",null,null,Thank you for the information. I have forwarded this information to PM.PM confirmed the information is forwarded to manufacturer.,null,PWM valve failure third gear,null,null,Closed,VOE11418522,"421 Transmission, hydraulic control",8dc04c8687ee4110eb664116cebb359e,FG9: Internal Leakage,Internal leakage in hydraulic components and/or associated parts.,"General Service operation(Only to be used in WebMIA, NOT applicable for UCHP)","[""P101800""]"
TS3217385,2022-10-05T12:47:40Z,L120H,2968,15156906,KUPPLUNGSWELLE,The customer complains about slight leaks on the bearing cap of the 3/4 gear shaft at the front and error message P101800 slip in third gear.,P101800 Transmission Clutch 3 Slip - No Sub Type Information,Der Kunde beschwert sich über leichte Undichtigkeiten an der Lagerkappe der 3/4 Zahnradwelle an der Front und Fehlermeldung P101800 Schlupf im dritten Gang.,"The mechanic wanted to reattach the bearing cap according to ST WLO 421/7. It was not possible to pull the bearing cover all the way onto the gearbox housing, there was always a gap between the cover and the housing. Matris and TT2 reading carried out and a transmission protocol created.
Transmission removed and disassembled. The clutch shaft from the 3rd/4th gear and the intermediate shaft are defective, see pictures.
The clutch plates have slight scoring.
There are very few chips in the oil and the oil is not burned.","Der Mechaniker wollte die Lagerkappe nach ST WLO 421/7 wieder anbringen. Es war nicht möglich, die Lagerabdeckung ganz auf das Getriebegehäuse zu ziehen, es gab immer einen Spalt zwischen der Abdeckung und dem Gehäuse. Matris- und TT2-Auslesung durchgeführt und ein Übertragungsprotokoll erstellt.
Getriebe entfernt und zerlegt. Die Kupplungswelle aus dem 3./4. Gang und die Zwischenwelle sind defekt, siehe Bilder.
Die Kupplungsplatten haben eine leichte Ritzung.
Es gibt nur sehr wenige Späne im Öl und das Öl wird nicht verbrannt.",null,null,null,null,null,Att.bracket VAB-STD cast.,Accept/Reject,VOE15156906,"421 Transmission, hydraulic control",09c0080687ee4110eb664116cebb3518,FG4: Slipping / Play / Worn / Seized / Squeezed / Jammed / Deformation / Misshapen / Malformed ,Bushings; Bearings; Clutch; Gears etc.,"Blasted rocks, Hard rock quarry, Limestone quarry","[""P101800""]"
TS3137734,2021-04-15T12:25:40Z,L70H,3260,17521970,CIRCUIT BOARD,It is not possible to start the engine. Many error codes in the HMI-ecu. ,B152317 Cab Interior Temperature Sensor Circuit - Circuit Voltage Above Threshold,null,"We connected Techtool and noticed a lot of error codes pointing at a problem with the HMI-ECU.
So the mechanic tried a new HMI-ECU first but that didn't solve the problem. 
Then he started to check the connectors and cable harnesses and found that when he pressed on the circuit board the problem could be reproduced. We changed the circuit board and that solved the problem.
",null,null,"Ok. Thank you for the information.

We replaced the circuit board.",null,Contact fault on the circuit board.,null,null,Closed,VOE17521970,372 Electrical distribution box; fuse; relay; circuit breaker,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Grading,"[""B152317""]"
TS3137734,2021-04-15T12:25:40Z,L70H,3260,17521970,CIRCUIT BOARD,It is not possible to start the engine. Many error codes in the HMI-ecu. ,U100300 HMICU GPMECU_2 BB2 Bus Diagnostic - No Sub Type Information,null,"We connected Techtool and noticed a lot of error codes pointing at a problem with the HMI-ECU.
So the mechanic tried a new HMI-ECU first but that didn't solve the problem. 
Then he started to check the connectors and cable harnesses and found that when he pressed on the circuit board the problem could be reproduced. We changed the circuit board and that solved the problem.
",null,null,"Ok. Thank you for the information.

We replaced the circuit board.",null,Contact fault on the circuit board.,null,null,Closed,VOE17521970,372 Electrical distribution box; fuse; relay; circuit breaker,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Grading,"[""U100300""]"
TS3137734,2021-04-15T12:25:40Z,L70H,3260,17521970,CIRCUIT BOARD,It is not possible to start the engine. Many error codes in the HMI-ecu. ,U100400 HMICU GPMECU_3 BB1 Bus Diagnostic - No Sub Type Information,null,"We connected Techtool and noticed a lot of error codes pointing at a problem with the HMI-ECU.
So the mechanic tried a new HMI-ECU first but that didn't solve the problem. 
Then he started to check the connectors and cable harnesses and found that when he pressed on the circuit board the problem could be reproduced. We changed the circuit board and that solved the problem.
",null,null,"Ok. Thank you for the information.

We replaced the circuit board.",null,Contact fault on the circuit board.,null,null,Closed,VOE17521970,372 Electrical distribution box; fuse; relay; circuit breaker,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Grading,"[""U100400""]"
TS3137734,2021-04-15T12:25:40Z,L70H,3260,17521970,CIRCUIT BOARD,It is not possible to start the engine. Many error codes in the HMI-ecu. ,U100000 HMICU GPMECU_1 BB1 Bus Diagnostic - No Sub Type Information,null,"We connected Techtool and noticed a lot of error codes pointing at a problem with the HMI-ECU.
So the mechanic tried a new HMI-ECU first but that didn't solve the problem. 
Then he started to check the connectors and cable harnesses and found that when he pressed on the circuit board the problem could be reproduced. We changed the circuit board and that solved the problem.
",null,null,"Ok. Thank you for the information.

We replaced the circuit board.",null,Contact fault on the circuit board.,null,null,Closed,VOE17521970,372 Electrical distribution box; fuse; relay; circuit breaker,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Grading,"[""U100000""]"
TS3137734,2021-04-15T12:25:40Z,L70H,3260,17521970,CIRCUIT BOARD,It is not possible to start the engine. Many error codes in the HMI-ecu. ,U100700 HMICU EMS BB2 Bus Diagnostic - No Sub Type Information,null,"We connected Techtool and noticed a lot of error codes pointing at a problem with the HMI-ECU.
So the mechanic tried a new HMI-ECU first but that didn't solve the problem. 
Then he started to check the connectors and cable harnesses and found that when he pressed on the circuit board the problem could be reproduced. We changed the circuit board and that solved the problem.
",null,null,"Ok. Thank you for the information.

We replaced the circuit board.",null,Contact fault on the circuit board.,null,null,Closed,VOE17521970,372 Electrical distribution box; fuse; relay; circuit breaker,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Grading,"[""U100700""]"
TS3137734,2021-04-15T12:25:40Z,L70H,3260,17521970,CIRCUIT BOARD,It is not possible to start the engine. Many error codes in the HMI-ecu. ,U100800 HMICU ACM BB1 Bus Diagnostic - No Sub Type Information,null,"We connected Techtool and noticed a lot of error codes pointing at a problem with the HMI-ECU.
So the mechanic tried a new HMI-ECU first but that didn't solve the problem. 
Then he started to check the connectors and cable harnesses and found that when he pressed on the circuit board the problem could be reproduced. We changed the circuit board and that solved the problem.
",null,null,"Ok. Thank you for the information.

We replaced the circuit board.",null,Contact fault on the circuit board.,null,null,Closed,VOE17521970,372 Electrical distribution box; fuse; relay; circuit breaker,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Grading,"[""U100800""]"
TS3137734,2021-04-15T12:25:40Z,L70H,3260,17521970,CIRCUIT BOARD,It is not possible to start the engine. Many error codes in the HMI-ecu. ,U100500 HMICU GPMECU_3 BB2 Bus Diagnostic - No Sub Type Information,null,"We connected Techtool and noticed a lot of error codes pointing at a problem with the HMI-ECU.
So the mechanic tried a new HMI-ECU first but that didn't solve the problem. 
Then he started to check the connectors and cable harnesses and found that when he pressed on the circuit board the problem could be reproduced. We changed the circuit board and that solved the problem.
",null,null,"Ok. Thank you for the information.

We replaced the circuit board.",null,Contact fault on the circuit board.,null,null,Closed,VOE17521970,372 Electrical distribution box; fuse; relay; circuit breaker,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Grading,"[""U100500""]"
TS3137734,2021-04-15T12:25:40Z,L70H,3260,17521970,CIRCUIT BOARD,It is not possible to start the engine. Many error codes in the HMI-ecu. ,U100600 HMICU EMS BB1 Bus Diagnostic - No Sub Type Information,null,"We connected Techtool and noticed a lot of error codes pointing at a problem with the HMI-ECU.
So the mechanic tried a new HMI-ECU first but that didn't solve the problem. 
Then he started to check the connectors and cable harnesses and found that when he pressed on the circuit board the problem could be reproduced. We changed the circuit board and that solved the problem.
",null,null,"Ok. Thank you for the information.

We replaced the circuit board.",null,Contact fault on the circuit board.,null,null,Closed,VOE17521970,372 Electrical distribution box; fuse; relay; circuit breaker,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Grading,"[""U100600""]"
TS3137734,2021-04-15T12:25:40Z,L70H,3260,17521970,CIRCUIT BOARD,It is not possible to start the engine. Many error codes in the HMI-ecu. ,"U101973 Battery relay (RE13)  stuck, high or low - Actuator Stuck Closed",null,"We connected Techtool and noticed a lot of error codes pointing at a problem with the HMI-ECU.
So the mechanic tried a new HMI-ECU first but that didn't solve the problem. 
Then he started to check the connectors and cable harnesses and found that when he pressed on the circuit board the problem could be reproduced. We changed the circuit board and that solved the problem.
",null,null,"Ok. Thank you for the information.

We replaced the circuit board.",null,Contact fault on the circuit board.,null,null,Closed,VOE17521970,372 Electrical distribution box; fuse; relay; circuit breaker,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Grading,"[""U101973""]"
TS3137734,2021-04-15T12:25:40Z,L70H,3260,17521970,CIRCUIT BOARD,It is not possible to start the engine. Many error codes in the HMI-ecu. ,U100100 HMICU GPMECU_1 BB2 Bus Diagnostic - No Sub Type Information,null,"We connected Techtool and noticed a lot of error codes pointing at a problem with the HMI-ECU.
So the mechanic tried a new HMI-ECU first but that didn't solve the problem. 
Then he started to check the connectors and cable harnesses and found that when he pressed on the circuit board the problem could be reproduced. We changed the circuit board and that solved the problem.
",null,null,"Ok. Thank you for the information.

We replaced the circuit board.",null,Contact fault on the circuit board.,null,null,Closed,VOE17521970,372 Electrical distribution box; fuse; relay; circuit breaker,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Grading,"[""U100100""]"
TS3137734,2021-04-15T12:25:40Z,L70H,3260,17521970,CIRCUIT BOARD,It is not possible to start the engine. Many error codes in the HMI-ecu. ,U100200 HMICU GPMECU_2 BB1 Bus Diagnostic - No Sub Type Information,null,"We connected Techtool and noticed a lot of error codes pointing at a problem with the HMI-ECU.
So the mechanic tried a new HMI-ECU first but that didn't solve the problem. 
Then he started to check the connectors and cable harnesses and found that when he pressed on the circuit board the problem could be reproduced. We changed the circuit board and that solved the problem.
",null,null,"Ok. Thank you for the information.

We replaced the circuit board.",null,Contact fault on the circuit board.,null,null,Closed,VOE17521970,372 Electrical distribution box; fuse; relay; circuit breaker,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Grading,"[""U100200""]"
TS3137734,2021-04-15T12:25:40Z,L70H,3260,17521970,CIRCUIT BOARD,It is not possible to start the engine. Many error codes in the HMI-ecu. ,U100900 HMICU ACM BB2 Bus Diagnostic - No Sub Type Information,null,"We connected Techtool and noticed a lot of error codes pointing at a problem with the HMI-ECU.
So the mechanic tried a new HMI-ECU first but that didn't solve the problem. 
Then he started to check the connectors and cable harnesses and found that when he pressed on the circuit board the problem could be reproduced. We changed the circuit board and that solved the problem.
",null,null,"Ok. Thank you for the information.

We replaced the circuit board.",null,Contact fault on the circuit board.,null,null,Closed,VOE17521970,372 Electrical distribution box; fuse; relay; circuit breaker,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Grading,"[""U100900""]"
TS3137734,2021-04-15T12:25:40Z,L70H,3260,17521970,CIRCUIT BOARD,It is not possible to start the engine. Many error codes in the HMI-ecu. ,U100D00 Limp Home Activation - No Sub Type Information,null,"We connected Techtool and noticed a lot of error codes pointing at a problem with the HMI-ECU.
So the mechanic tried a new HMI-ECU first but that didn't solve the problem. 
Then he started to check the connectors and cable harnesses and found that when he pressed on the circuit board the problem could be reproduced. We changed the circuit board and that solved the problem.
",null,null,"Ok. Thank you for the information.

We replaced the circuit board.",null,Contact fault on the circuit board.,null,null,Closed,VOE17521970,372 Electrical distribution box; fuse; relay; circuit breaker,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Grading,"[""U100D00""]"
